title,company,location,how_old,link
Analista Inteligência de Mercado Júnior,GOL Linhas Aéreas,Home office,Postedhá 27 dias,https://br.indeed.com/company/GOL-Linhas-A%C3%A9ras/jobs/Analista-Intelig%C3%AAncia-Mercado-J%C3%BAnior-7ae38e438a9fbab6?fccid=4abbea6f16383dfd&vjs=3
DESENVOLVEDOR PYTHON - SUPERIOR EM ANDAMENTO,Não encontrada,"Itajubá, MG",PostedRecém publicada,https://br.indeed.com/rc/clk?jk=565493ba6893ce70&fccid=dd616958bd9ddc12&vjs=3
Analista de Pricing Pleno,Cielo,Home office,Postedhá 1 dia,https://br.indeed.com/rc/clk?jk=d6e1e81ecb522060&fccid=914d1e1f722393dc&vjs=3
Software Engineer - OpenStack,Canonical - Jobs,,PostedRecém publicada,https://br.indeed.com/rc/clk?jk=d66c6ba9f6721d65&fccid=d40b824c7b625849&vjs=3
Customer Service Representative- middleware Junior,Kyndryl,"Hortolândia, SP",PostedRecém publicada,https://br.indeed.com/rc/clk?jk=5c20cfe0da959570&fccid=c7e21868d667ab79&vjs=3
Estágio em Engenharia de Dados,A3Data,Home office,Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=5fa99b2cbfda038a&fccid=da9a0f944ccb7f3b&vjs=3
Analista de Web Analytics Sênior,Suno Research,Home office,PostedHoje,https://br.indeed.com/rc/clk?jk=34ee510b6fb40fbf&fccid=1f9e4b60fb9b8bde&vjs=3
Analista de Dados Pleno,Suno Research,Home office,PostedHoje,https://br.indeed.com/rc/clk?jk=74c7d95751e0bf64&fccid=1f9e4b60fb9b8bde&vjs=3
Analista de Sistemas,3tentos - Vagas,"Ijuí, RS",Postedhá 2 dias,https://br.indeed.com/rc/clk?jk=27ccd9fb91ddb4d0&fccid=86291dedc91cc6fc&vjs=3
Banco de Talentos - TECNOLOGIA E INOVAÇÃO,Grupo Muffato,"Cambé, PR",Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=0eb688e9294412ce&fccid=41171fd6bd1765a5&vjs=3
Estagiário de Desenvolvimento - Middle Office,Safira Energia,"Home office in Barueri, SP",Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=f98560287857b9d0&fccid=0a1e124cc7a25f07&vjs=3
DESENVOLVEDOR (A) PYTHON/ML/ANALYTICS,Eldorado,"Brasília, DF",Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=0000aa7f60b7f4aa&fccid=70cf64a0b596b733&vjs=3
Pessoa desenvolvedora nível Estagiário,Terras,Home office,Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=78d93fd9856bc691&fccid=f22bac1b159d6087&vjs=3
Practice Analyst - Operations,McKinsey & Company,"São Paulo, SP",Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=6c1787a63b452a3b&fccid=6576e7250aa78c3c&vjs=3
Machine Learning Engineer,Vagas | Hprojekt Tech,Home office,Postedhá 14 dias,https://br.indeed.com/rc/clk?jk=2a9ce98ba2bc3bde&fccid=dd616958bd9ddc12&vjs=3
Cientista de Dados/Engenheiro ML,Minsait an Indra Company,Home office,Postedhá 1 dia,https://br.indeed.com/rc/clk?jk=61351942e50a7ead&fccid=dd616958bd9ddc12&vjs=3
Desenvolvedor(a) Python (remoto),GeekHunter,"Home office in Palmas, TO",Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=f0d4795b92e6f113&fccid=9ba8dec3013c0c90&vjs=3
Anl Tecnologia e Operações,Santander,"São Paulo, SP",Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=2b122cd79a110903&fccid=e57a47a3d1d90e39&vjs=3
Senior Data Scientist – QuantumBlack,McKinsey & Company,"Rio de Janeiro, RJ",Postedhá 21 dias,https://br.indeed.com/rc/clk?jk=ebc7c5c06efb4d3b&fccid=6576e7250aa78c3c&vjs=3
ENGENHEIRO DE SOFTWARE FULLSTACK JUNIOR,ROIT,Home office,Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=4d27aec4d55f10ed&fccid=881947d7f3319cbd&vjs=3
Estagiário de Risco,Safira Energia,"Home office in Barueri, SP",Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=9cdb0aebcfd8693b&fccid=0a1e124cc7a25f07&vjs=3
Analista de Dados - Data & Analytics,Grupo Henry Schein Brasil,"Home office in São José, SC",Postedhá 13 dias,https://br.indeed.com/rc/clk?jk=78c3106c8ff2d25a&fccid=0d45dc4fe60ffe27&vjs=3
PEBMED | Pessoa Engenheira de Dados Junior,PEBMED,Home office,Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=ae757010b313f3fa&fccid=ec6d6e5d0bd8f28f&vjs=3
Machine Learning – NLP - REMOTO,CPQD,"Home office in Campinas, SP",Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=33f310b47e0d4515&fccid=d7d3c71610f67ee0&vjs=3
Analista de Suporte Jr,Icaro Tech,Home office,Postedhá 6 dias,https://br.indeed.com/rc/clk?jk=9614df6873a64755&fccid=bff4b84c722c1fe5&vjs=3
Analista de Estratégia e Performance Sênior,Cielo,Home office,Postedhá 4 dias,https://br.indeed.com/rc/clk?jk=d26ed7c5ae3281b1&fccid=914d1e1f722393dc&vjs=3
desenvolvedor Python em Santo Antônio da Patrulha RS,Não encontrada,"Santo Antônio da Patrulha, RS",Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=cbb72c02772084ca&fccid=dd616958bd9ddc12&vjs=3
Desenvolvedor(a),EY,"São Paulo, SP",Postedhá 7 dias,https://br.indeed.com/rc/clk?jk=7d180e1e21ff9a1a&fccid=1544766d4c2915b0&vjs=3
Analista de Inteligência de Negócios Pleno,Casa do Construtor,"Rio Claro, SP",Postedhá 8 dias,https://br.indeed.com/rc/clk?jk=ba6467753ec6ddd2&fccid=27559d0cddf35925&vjs=3
ANALISTA DE DADOS PLENO - (PREVENÇÃO A FRAUDES),Neon Pagamentos,Home office in Brasil,Postedhá 20 dias,https://br.indeed.com/rc/clk?jk=d086d3ece2f828d0&fccid=f362771e1d0a24ae&vjs=3
Sympla | Cientista de Dados,Anywhere,Home office,Postedhá 8 dias,https://br.indeed.com/rc/clk?jk=b37a2a2b52234ebc&fccid=6ba6257a4542364a&vjs=3
Bolsista Programa Talento Inovação IEL PR | HEIJUNKA360 (graduando),Programa Talento Inovação IEL PR,"Curitiba, PR",Postedhá 28 dias,https://br.indeed.com/rc/clk?jk=c94d0e6ddd075a31&fccid=3d7b4ddfe7443bee&vjs=3
Analista de Crédito Júnior - Credenciamento,Appmax,Home office,Postedhá 22 dias,https://br.indeed.com/rc/clk?jk=177e9ef2e5ca36a4&fccid=bf52a541fc5edf24&vjs=3
Data & Analytics | Data Engineering Jr,Hurb,Home office,Postedhá 30+ dias,https://br.indeed.com/company/hurb/jobs/Data-Analytics-Data-Engineering-Junior-d2734b875e7e0110?fccid=a784efba46c28b98&vjs=3
React + Python Developer - Remote - Latin America,FullStack Labs,,Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=72751b4f435a5a43&fccid=9c6c0fa81112149a&vjs=3
ANALISTA DE DESENVOLVIMENTO SOLUCOES PL,Solinftec,"Sinop, MT",Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=7d797abf61f0064d&fccid=c56c3b08f4b72656&vjs=3
Anl Riscos Varejo II,Santander,"São Paulo, SP",Postedhá 18 dias,https://br.indeed.com/rc/clk?jk=10c29c2963305d01&fccid=e57a47a3d1d90e39&vjs=3
AUDITOR OU AUDITORA DE TI PLENO,usiminas,Home office,Postedhá 1 dia,https://br.indeed.com/rc/clk?jk=1d8f46478b0e6727&fccid=54dfb0f747802322&vjs=3
Pentester - Brasil,Cornershop by Uber,"São Paulo, SP",Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=cf14d3194d53956b&fccid=d9bba51ffc063303&vjs=3
Engenheiro(a) de Machine Learning,A3Data,,Postedhá 14 dias,https://br.indeed.com/rc/clk?jk=04267ec7ab1d77b5&fccid=da9a0f944ccb7f3b&vjs=3
Pesquisadora [Zup Edu - Pesquisa],Zup Innovation,Home office,PostedRecém publicada,https://br.indeed.com/rc/clk?jk=07788dc838073623&fccid=286575ef2237b3c9&vjs=3
Analista de Dados,Cortex,Home office,Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=788a5678a8d04012&fccid=5f99eb6ef35d2311&vjs=3
Senior Software Engineer - Kubeflow/MLOps (Python/Kubernetes),Canonical - Jobs,,Postedhá 15 dias,https://br.indeed.com/rc/clk?jk=bb94f93195c4523f&fccid=d40b824c7b625849&vjs=3
Desenvolvedor Android Júnior,Curriculum.com.br,"Home office in São Paulo, SP",Postedhá 1 dia,https://br.indeed.com/rc/clk?jk=080eb5a1764e4a9e&fccid=22d7ce555383096d&vjs=3
Analista de Monitoramento- Observability Zabbix/ Grafana,Secureway Tecnologia,Home office,Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=0bdc6623ec47e528&fccid=c154865ef3578d83&vjs=3
"Full Stack Developer - React,Python,AWS",Não encontrada,Home office,Postedhá 9 dias,https://br.indeed.com/rc/clk?jk=497931d984399d35&fccid=dd616958bd9ddc12&vjs=3
DESENVOLVEDOR BACKEND / PYTHON,Eldorado,"Campinas, SP",Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=82023752622a782a&fccid=70cf64a0b596b733&vjs=3
Sr Python Engineer,Luxoft,Home office,Postedhá 6 dias,https://br.indeed.com/rc/clk?jk=2d6c7872c7a9205a&fccid=4b841d912d46e4fd&vjs=3
Pessoa desenvolvedora Web Júnior,Terras,Home office,Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=34b10817655112cc&fccid=f22bac1b159d6087&vjs=3
Analista de Contas a Pagar Júnior | Financeiro,Hurb,"Rio de Janeiro, RJ",Postedhá 19 dias,https://br.indeed.com/company/hurb/jobs/Analista-Contas-Pagar-J%C3%BAnior-Financeiro-6f234f4fe8863356?fccid=a784efba46c28b98&vjs=3
Desenvolvedor,Curriculum.com.br,,PostedRecém publicada,https://br.indeed.com/rc/clk?jk=73df13fdb9f7a8ea&fccid=22d7ce555383096d&vjs=3
19FP08 ST - BIG DATA Inf. Gerenciais,Minsait an Indra Company,Home office,Postedhá 1 dia,https://br.indeed.com/rc/clk?jk=95efb1ca74134256&fccid=dd616958bd9ddc12&vjs=3
Cientista de dados (Processamento em Linguagem Natural (NLP) - TELETRABALHO E LOCAL,Minsait an Indra Company,Home office,Postedhá 1 dia,https://br.indeed.com/rc/clk?jk=7b091e3f03276a10&fccid=dd616958bd9ddc12&vjs=3
Estágio em Área de Dados,Vagas MRM Brasil,"Hybrid remote in São Paulo, SP",Postedhá 14 dias,https://br.indeed.com/rc/clk?jk=061a160c71fc7a57&fccid=570bc921bc189c74&vjs=3
Niduu | Back-End Engineer Python Senior,Niduu,Home office,Postedhá 22 dias,https://br.indeed.com/rc/clk?jk=1d8d18c3166957cb&fccid=9cb520188c6980f2&vjs=3
Analista de Crédito (MIS & ANALYTICS) | Realize,REALIZE CFI,Home office,Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=e0fccb6fc43e572c&fccid=e4bcb81ca9203d45&vjs=3
Desenvolvedor Python Pleno/Sênior,Framework System,"Belo Horizonte, MG",Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=78fa40da84c1035a&fccid=4cc23cfd12fced03&vjs=3
Analista de Dados PL (Web Analytics),MadeiraMadeira,Home office,Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=3630fb05b7f3da1d&fccid=7522264cf9717691&vjs=3
Anl Tecnologia e Operações Pleno (Python/ PySpark),Santander Brasil,"São Paulo, SP",Postedhá 21 dias,https://br.indeed.com/rc/clk?jk=167e6429cabd7b93&fccid=e57a47a3d1d90e39&vjs=3
Analista da Qualidade,Embraer,"Campinas, SP",PostedHoje,https://br.indeed.com/rc/clk?jk=b3fec95db312d84f&fccid=f2a034f151ed245d&vjs=3
Especialista em Planejamento Financeiro de Cartões,will bank,Home office,Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=9ebe9913aa5bc148&fccid=6f87f0f19f9e71be&vjs=3
Data Scientist - QuantumBlack,McKinsey & Company,"Rio de Janeiro, RJ",Postedhá 16 dias,https://br.indeed.com/rc/clk?jk=3d433dd95d60a967&fccid=6576e7250aa78c3c&vjs=3
Analise de Suporte N2,UELLO,Home office,Postedhá 14 dias,https://br.indeed.com/rc/clk?jk=fefe1fb402ef3e01&fccid=9a56ad0fbe33688b&vjs=3
Analista de Dados,Sicredi,,Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=c78eafdf773c8121&fccid=0bedb393cb03c383&vjs=3
DESENVOLVEDOR PYTHON - RIO DE JANEIRO,OEmprego,"Home office in Rio de Janeiro, RJ",Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=de6f6700da84cffd&fccid=919b31f0a22ef58e&vjs=3
DESENVOLVEDOR JAVA SCRIPT - RIO DE JANEIRO,OEmprego,"Rio de Janeiro, RJ",Postedhá 8 dias,https://br.indeed.com/rc/clk?jk=1e10c6417d559625&fccid=919b31f0a22ef58e&vjs=3
"Desenvolvedor Fullstack .NET, Node JS, Python",Minsait an Indra Company,Home office,Postedhá 1 dia,https://br.indeed.com/rc/clk?jk=78266ccfc814a998&fccid=dd616958bd9ddc12&vjs=3
ANALISTA DE PROJETOS,Lojas Quero-Quero,"Cachoeirinha, RS",Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=616d166d0a89f572&fccid=03622d1d00114568&vjs=3
Backend Developer (Python),ISH Tecnologia,Home office,Postedhá 26 dias,https://br.indeed.com/rc/clk?jk=0d03ae2636325bc8&fccid=65a10ca77d17ef13&vjs=3
Product Development Engineer (focus on interiors),Embraer,"São José dos Campos, SP",Postedhá 8 dias,https://br.indeed.com/rc/clk?jk=657c0ee3881a7433&fccid=f2a034f151ed245d&vjs=3
Cientista de Dados,Telhanorte - Saint Gobain,"São Paulo, SP",Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=4b0ab558b2b158e4&fccid=5d93a7db46bd9612&vjs=3
HPC Engineering Manager - Python & Linux,Canonical - Jobs,,Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=5c7838f0d9e0d6f4&fccid=d40b824c7b625849&vjs=3
Analista de Dados,MaxMilhas,Home office,Postedhá 7 dias,https://br.indeed.com/company/MaxMilhas/jobs/Analista-Dados-395b84651815c6f9?fccid=677830bfe0eba4ff&vjs=3
Software Tester,MOST Specialist Technologies,"Home office in Belo Horizonte, MG",Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=cfb27b41fd5cf88f&fccid=164a79a2d47e57e3&vjs=3
Estagiário de CRM,credsystem,Home office,Postedhá 30 dias,https://br.indeed.com/rc/clk?jk=3fb92a25d3874f49&fccid=e35ff851d1795831&vjs=3
Analista de Migração de Dados (1355),Keep Simple,"Home office in Uberaba, MG",Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=9750dc2695ce6aa7&fccid=0e7a2b7d426aa1e3&vjs=3
Senior Python Engineer,Oportunidades Gobetti RH,Home office,Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=9173e37973df5cee&fccid=5aabc083e6b8a70a&vjs=3
Pessoa Arquiteta de Dados,Banco BV,Home office,Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=f1d450cd315bca33&fccid=ceee6c892674bc45&vjs=3
Consultant - Manufacturing,McKinsey & Company,"São Paulo, SP",Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=2c999ea6010af93b&fccid=6576e7250aa78c3c&vjs=3
Estágio - Laboratório de Dados,Instituto Ayrton Senna,"Hybrid remote in São Paulo, SP",Postedhá 6 dias,https://br.indeed.com/rc/clk?jk=0561aaf0da3c150c&fccid=38f34c3c1ac70e19&vjs=3
Assistente de Aplicação,ANDRITZ AG,"Home office in Porto Alegre, RS",Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=96cb8c0b16c72f91&fccid=31dc3ff412a8dc30&vjs=3
Python Developer,Decision Group,"São Paulo, SP",Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=5f45a9f14a0ac4e2&fccid=51781768edc58020&vjs=3
ENGENHEIRO DE DADOS - PYTHON / AIRFLOW,NTConsult,"Porto Alegre, RS",Postedhá 8 dias,https://br.indeed.com/rc/clk?jk=9b957de48022501e&fccid=ea28bc52044fb47b&vjs=3
Analista de Dados (CRM),Grupo Panvel,"Eldorado do Sul, RS",Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=310302ba16d75b8e&fccid=336d97e8fb8f6d78&vjs=3
Desenvolvedor (com Experiência Em Python) – Porto Alegre – RS,Divulga Vagas,"Porto Alegre, RS",Postedhá 9 dias,https://br.indeed.com/rc/clk?jk=23d3b547d90934f9&fccid=1abbffd7f44ec1e9&vjs=3
Desenvolvedor Full Stack Python/PLSQL - Pleno,Ewave do Brasil,,Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=e9ce61669f672683&fccid=3e70db4eb9a109af&vjs=3
ESTÁGIO TALENTO - CRM ANALÍTICO,Lojas Quero-Quero,"Cachoeirinha, RS",PostedHoje,https://br.indeed.com/rc/clk?jk=f262dad81ea948bb&fccid=03622d1d00114568&vjs=3
Software Engineer - Back-End (Python) [INTERNACIONAL],Novatics Tecnologia,"Brasília, DF",Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=e8d326c8773620ff&fccid=c9489e2c5454d00e&vjs=3
Desenvolvedor de Software em Processamento de Fala - JR,SiDi,Home office,Postedhá 13 dias,https://br.indeed.com/rc/clk?jk=51b30da7b37aa47c&fccid=d944f1c7c41daa58&vjs=3
Python Back-End Developer,Não encontrada,Home office,Postedhá 30 dias,https://br.indeed.com/rc/clk?jk=348cf39eae20d143&fccid=dd616958bd9ddc12&vjs=3
Analista de Dados de Recursos Humanos JR,Bridgestone do Brasil,"Santo André, SP",Postedhá 8 dias,https://br.indeed.com/rc/clk?jk=c18cdfbdc103fac9&fccid=a4c796429bf9f8fa&vjs=3
Analista de Mercado de Energia - Coleta de Faturas,Schneider Electric,"Jurubatuba, SP",Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=491a59f59312e83e&fccid=8dc4399ddb463d4a&vjs=3
ANALISTA DE POLÍTICAS DE CRÉDITO PLENO,Neon Pagamentos,Home office in Brasil,Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=bb9b00a982083b35&fccid=f362771e1d0a24ae&vjs=3
Analista Júnior - Estratégia,ITAPEVA Recuperação de Créditos,"São Paulo, SP",Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=dead29bb48272f72&fccid=4bda090c393d045d&vjs=3
Machine Learning Engineer,HP,"Porto Alegre, RS",Postedhá 1 dia,https://br.indeed.com/rc/clk?jk=e70a043675157f22&fccid=c8eabfdb4fcf2d28&vjs=3
Desenvolvedor (a) Python Sênior,UpFlux Process Mining,Home office,Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=b0df0ec37dd08881&fccid=2e937104c3aa0535&vjs=3
Estágio de Cibersegurança,KRYPTUS,"Campinas, SP",Postedhá 1 dia,https://br.indeed.com/rc/clk?jk=dc4d66ca37454fab&fccid=55d431a88bf4eb2b&vjs=3
DevOps,Curriculum.com.br,,Postedhá 1 dia,https://br.indeed.com/rc/clk?jk=c69a993180e2d6f0&fccid=22d7ce555383096d&vjs=3
Analista BI - Remoto,Supera Tecnologia,Home office,Postedhá 7 dias,https://br.indeed.com/rc/clk?jk=f2b0136b318239c8&fccid=19e5782eb7a75943&vjs=3
Arquiteto de Integração de Dados - TELETRABALHO,Minsait an Indra Company,Home office,Postedhá 1 dia,https://br.indeed.com/rc/clk?jk=a40a7fc823f34807&fccid=dd616958bd9ddc12&vjs=3
Data Engineer,Bexs,"São Paulo, SP",PostedHoje,https://br.indeed.com/rc/clk?jk=d1f3e189feca30d9&fccid=852a595a80b823ae&vjs=3
ICLINIC | Pessoa Engenheira de Software Backend Senior - Python,iClinic | Grupo Afya,Home office,Postedhá 4 dias,https://br.indeed.com/rc/clk?jk=230e70cb2c5bd7c0&fccid=dd616958bd9ddc12&vjs=3
Analista de Dados Contábil,Autoglass,"Hybrid remote in Vila Velha, ES",Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=1cc0cf9d4e960cae&fccid=14bc40ec62116fda&vjs=3
"Product Solutions Engineer, gTech Users and Products",Google,"São Paulo, SP",Postedhá 8 dias,https://br.indeed.com/rc/clk?jk=d33bca4f56477592&fccid=a5b4499d9e91a5c6&vjs=3
Senior Software Engineer - Observability (Python/Go/Kubernetes),Canonical - Jobs,,Postedhá 15 dias,https://br.indeed.com/rc/clk?jk=1e3594af4e555d1f&fccid=d40b824c7b625849&vjs=3
Analista de Modelagem de Risco e Rentabilidade Pleno (Remoto) - Bari Service,Banco Bari e Grupo,Home office,Postedhá 29 dias,https://br.indeed.com/rc/clk?jk=6622c9b1918f0b62&fccid=2022686fd8d4e41c&vjs=3
Desenvolvedor Python Pleno,STORMGROUP,Home office,Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=14ebfcbe3a39988c&fccid=2404d9972c04d23e&vjs=3
Analista de Contas a Pagar Júnior | Financeiro,Próxima parada: O Job dos Sonhos!,"Rio de Janeiro, RJ",Postedhá 8 dias,https://br.indeed.com/rc/clk?jk=da87868d371257b2&fccid=dd616958bd9ddc12&vjs=3
Especialista em Riscos,Cielo,Home office,Postedhá 6 dias,https://br.indeed.com/rc/clk?jk=9f76eeb0421a667b&fccid=914d1e1f722393dc&vjs=3
Researcher,Senior Sistemas,"Blumenau, SC",Postedhá 7 dias,https://br.indeed.com/rc/clk?jk=b18d7bf4bad4bb82&fccid=e1dc47ab7b04aa94&vjs=3
"Data Analyst, LATAM",Criteo,"São Paulo, SP",Postedhá 5 dias,https://br.indeed.com/rc/clk?jk=651283819caf80d5&fccid=d3ee4a7355a0fb60&vjs=3
Desenvolvedor Python SR,Fitec- Inovações Tecnológicas,Home office,Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=e84fc48a8f268b85&fccid=e2baa8eeb9ec737c&vjs=3
Analista de Riscos | Pro I,Vórtx,"Home office in São Paulo, SP",Postedhá 30 dias,https://br.indeed.com/rc/clk?jk=22f42ad594a9b4e8&fccid=5e0cca870d25ce33&vjs=3
ANALISTA DE DATA ANALYTICS (Exclusiva para PCD) | Consumer Health | São Paulo/SP,Johnson & Johnson,"São Paulo, SP",Postedhá 5 dias,https://br.indeed.com/rc/clk?jk=87480408f0e421c2&fccid=0bed8e17bc113980&vjs=3
Information Security Analyst - DevSecOps (Remote),Seedz,Home office,Postedhá 1 dia,https://br.indeed.com/rc/clk?jk=16ca980d20b72352&fccid=ea45409212384433&vjs=3
Software Engineer - Python - Kubernetes,Canonical - Jobs,,Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=a324fa2bdc833e0c&fccid=d40b824c7b625849&vjs=3
Software Engineer III (Full Remote ou Híbrido),Loggi,"Home office in São Paulo, SP",Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=ac97f7594f251817&fccid=beae102407e0c245&vjs=3
Estagiário Full Stack Developer,Precifica,"São Paulo, SP",Postedhá 5 dias,https://br.indeed.com/rc/clk?jk=d6ee23192c86cf3b&fccid=29c323c3fb1c0fcb&vjs=3
Anl Planejamento II (Python) - Modelo Híbrido,F1RST Tecnologia,"Hybrid remote in São Paulo, SP",Postedhá 11 dias,https://br.indeed.com/rc/clk?jk=c351b5e25b8cadb2&fccid=5990af9a79789b86&vjs=3
Python,HR Soul,"São Paulo, SP",Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=59c99236d10e3eb4&fccid=caba58b16290814a&vjs=3
Analista Quantitativo Júnior,Wise & Trust,"Home office in Florianópolis, SC",Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=d34b6bb78b9e7ac4&fccid=204483696ed0a0b6&vjs=3
QA Tester Python,RHTALENTOS.TEC,"São Paulo, SP",Postedhá 30 dias,https://br.indeed.com/rc/clk?jk=a339014da9152867&fccid=e8ec5cee07a15067&vjs=3
Analista de MIS e Portfólio Pleno,Digio,Home office,Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=1496c27b91edf968&fccid=dec45784a5e2d28c&vjs=3
Desenvolvedor Python,Truppe Desenvolvimento em Recursos Humanos e...,"Home office in Campinas, SP",Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=d9af481c41c153ac&fccid=261ad89d6cbd1c9a&vjs=3
Desenvolvedor(a) Python - Pleno,IVORY TALENT,Home office,Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=33b23000c7b8019d&fccid=063d2ccddeffa394&vjs=3
Analista De Testes – Praia De Belas – Porto Alegre – RS,BuscarVagas,"Porto Alegre, RS",Postedhá 9 dias,https://br.indeed.com/rc/clk?jk=a49c62c365344a6d&fccid=73abce787a9b9ca5&vjs=3
Analista de Programação - Ipojuca/PE,Infotec Brasil,Home office,Postedhá 8 dias,https://br.indeed.com/rc/clk?jk=c3f944d8c76d9fa5&fccid=8e5c47e4dc484e65&vjs=3
Software development engineer - intern,CSG,"Londrina, PR",Postedhá 9 dias,https://br.indeed.com/rc/clk?jk=aa0a51b09b437dd1&fccid=ee8519c5c256c6b3&vjs=3
Customer Success Consultant SR,Cortex,Home office,Postedhá 4 dias,https://br.indeed.com/rc/clk?jk=4b759ed21817cd86&fccid=5f99eb6ef35d2311&vjs=3
Engenheiro de Dados,MIRANTE TECNOLOGIA,"Brasília, DF",PostedHoje,https://br.indeed.com/rc/clk?jk=019b97fe2dd14d95&fccid=13ee8acb31b41180&vjs=3
Data Scientist - Geospatial & Agriculture Analytics,McKinsey & Company,"São Paulo, SP",Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=b82806360ec7df77&fccid=6576e7250aa78c3c&vjs=3
BRA Espec Tecnologia e Operações,Santander,"São Paulo, SP",Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=17d40a6aef2f2cdf&fccid=e57a47a3d1d90e39&vjs=3
0731 - Analista de Dados - Open Banking - Cafelândia/PR,Sicredi,"Cafelândia, PR",Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=fcba3eaedf23e9e0&fccid=0bedb393cb03c383&vjs=3
Estágio em TI - Infra e Produtividade,Qexpert,Home office,Postedhá 27 dias,https://br.indeed.com/rc/clk?jk=661d0c0da8076b0c&fccid=97b262457d41d40f&vjs=3
Analista de Integrações,Pulses,Home office,Postedhá 11 dias,https://br.indeed.com/rc/clk?jk=bccf3aa8811934f7&fccid=79038d05e5b996a9&vjs=3
NLP – Natural Language Processing,MOST Specialist Technologies,"Home office in Belo Horizonte, MG",Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=de89e0684042767a&fccid=164a79a2d47e57e3&vjs=3
Data Analyst,Ericsson,"São José dos Campos, SP",Postedhá 11 dias,https://br.indeed.com/rc/clk?jk=2ebf6e4a8e088be7&fccid=82656d64a9a3e6a7&vjs=3
Desenvolvedor(a) Delphi,Não encontrada,Home office,Postedhá 1 dia,https://br.indeed.com/rc/clk?jk=c6fc51bba74ff1fd&fccid=dd616958bd9ddc12&vjs=3
Cientista de Dados,EY,"São Paulo, SP",Postedhá 11 dias,https://br.indeed.com/rc/clk?jk=a6742625cbdb3d2c&fccid=1544766d4c2915b0&vjs=3
DevOps Júnior,Appmax,Home office,Postedhá 8 dias,https://br.indeed.com/rc/clk?jk=c04ce36ba50b92ae&fccid=bf52a541fc5edf24&vjs=3
[SICREDI] - Analista de Planejamento BI Pleno,Page Outsourcing Brasil,Home office,Postedhá 12 dias,https://br.indeed.com/rc/clk?jk=a74eee93ddd329b3&fccid=a49ac2f01d93ce5f&vjs=3
